Deciding by hamming distance 
Total train doc : 6518
Total test doc : 2572
Key, K = 1
=================================================
Predicted topic : acq
Predicted topic : grain
Predicted topic : ship
Predicted topic : acq
Predicted topic : money-supply
Predicted topic : money-fx
Predicted topic : interest
Predicted topic : earn
Predicted topic : earn
Predicted topic : earn
Predicted topic : ipi
Predicted topic : earn
Predicted topic : earn
Predicted topic : earn
Predicted topic : earn
Predicted topic : earn
Predicted topic : trade
Predicted topic : tin
Predicted topic : sugar
Predicted topic : sugar
Predicted topic : acq
Predicted topic : acq
Predicted topic : earn
Predicted topic : earn
Predicted topic : trade
Predicted topic : acq
Predicted topic : gnp
Predicted topic : acq
Predicted topic : trade
Predicted topic : interest
Predicted topic : acq
Predicted topic : earn
Predicted topic : sugar
Predicted topic : earn
Predicted topic : earn
Predicted topic : earn
Predicted topic : acq
Predicted topic : earn
Predicted topic : earn
Predicted topic : earn
Predicted topic : acq
Predicted topic : acq
Predicted topic : bop
Predicted topic : earn
Predicted topic : acq
Predicted topic : earn
Predicted topic : ship
Predicted topic : earn
Predicted topic : earn
Predicted topic : earn
Predicted topic : earn
Predicted topic : earn
Predicted topic : earn
Predicted topic : earn
Predicted topic : earn
Predicted topic : earn
Predicted topic : jobs
Predicted topic : earn
Predicted topic : acq
Predicted topic : earn
Predicted topic : acq
Predicted topic : earn
Predicted topic : earn
Predicted topic : earn
Predicted topic : sugar
Predicted topic : money-supply
Predicted topic : sugar
Predicted topic : earn
Predicted topic : earn
Predicted topic : earn
Predicted topic : earn
Predicted topic : acq
Predicted topic : earn
Predicted topic : acq
Predicted topic : earn
Predicted topic : earn
Predicted topic : earn
Predicted topic : earn
Predicted topic : sugar
Predicted topic : earn
Predicted topic : sugar
Predicted topic : earn
Predicted topic : earn
Predicted topic : acq
Predicted topic : earn
Predicted topic : earn
Predicted topic : earn
Predicted topic : earn
Predicted topic : acq
Predicted topic : earn
Predicted topic : acq
Predicted topic : heat
Predicted topic : jobs
Predicted topic : money-supply
Predicted topic : interest
Predicted topic : acq
Predicted topic : earn
Predicted topic : earn
Predicted topic : earn
Predicted topic : acq
Predicted topic : acq
Predicted topic : earn
Predicted topic : earn
Predicted topic : earn
Predicted topic : earn
Predicted topic : earn
Predicted topic : earn
Predicted topic : earn
Predicted topic : earn
Predicted topic : earn
Predicted topic : earn
Predicted topic : earn
Predicted topic : earn
Predicted topic : money-fx
Predicted topic : money-supply
Predicted topic : earn
Predicted topic : cocoa
Predicted topic : interest
Predicted topic : earn
Predicted topic : earn
Predicted topic : earn
Predicted topic : earn
Predicted topic : earn
Predicted topic : acq
Predicted topic : interest
Predicted topic : earn
Predicted topic : acq
Predicted topic : earn
Predicted topic : earn
Predicted topic : earn
Predicted topic : earn
Predicted topic : earn
Predicted topic : acq
Predicted topic : earn
Predicted topic : earn
Predicted topic : acq
Predicted topic : earn
Predicted topic : earn
Predicted topic : earn
Predicted topic : earn
Predicted topic : acq
Predicted topic : earn
Predicted topic : earn
Predicted topic : trade
Predicted topic : acq
Predicted topic : earn
Predicted topic : acq
Predicted topic : earn
Predicted topic : trade
Predicted topic : earn
Predicted topic : earn
Predicted topic : earn
Predicted topic : earn
Predicted topic : earn
Predicted topic : earn
Predicted topic : earn
Predicted topic : earn
Predicted topic : earn
Predicted topic : earn
Predicted topic : earn
Predicted topic : acq
Predicted topic : earn
Predicted topic : acq
Predicted topic : earn
Predicted topic : bop
Predicted topic : earn
Predicted topic : earn
Predicted topic : acq
Predicted topic : earn
Predicted topic : acq
Predicted topic : acq
Predicted topic : interest
Predicted topic : earn
Predicted topic : earn
Predicted topic : earn
Predicted topic : trade
Predicted topic : earn
Predicted topic : earn
Predicted topic : earn
Predicted topic : earn
Predicted topic : cpi
Predicted topic : sugar
Predicted topic : acq
Predicted topic : acq
Predicted topic : money-supply
Predicted topic : earn
Predicted topic : cocoa
Predicted topic : money-supply
Predicted topic : earn
Predicted topic : earn
Predicted topic : money-supply
Predicted topic : acq
Predicted topic : earn
Predicted topic : earn
Predicted topic : earn
Predicted topic : earn
Predicted topic : earn
Predicted topic : earn
Predicted topic : earn
Predicted topic : acq
Predicted topic : earn
Predicted topic : earn
Predicted topic : earn
Predicted topic : earn
Predicted topic : earn
Predicted topic : acq
Predicted topic : earn
Predicted topic : earn
Predicted topic : earn
Predicted topic : earn
Predicted topic : acq
Predicted topic : sugar
Predicted topic : acq
Predicted topic : earn
Predicted topic : acq
Predicted topic : earn
Predicted topic : trade
Predicted topic : acq
Predicted topic : earn
Predicted topic : earn
Predicted topic : earn
Predicted topic : earn
Predicted topic : earn
Predicted topic : acq
Predicted topic : earn
Predicted topic : earn
Predicted topic : earn
Predicted topic : earn
Predicted topic : earn
Predicted topic : earn
Predicted topic : earn
Predicted topic : earn
Predicted topic : money-supply
Predicted topic : trade
Predicted topic : earn
Predicted topic : earn
Predicted topic : coffee
Predicted topic : earn
Predicted topic : acq
Predicted topic : jobs
Predicted topic : earn
Predicted topic : earn
Predicted topic : earn
Predicted topic : earn
Predicted topic : earn
Predicted topic : interest
Predicted topic : trade
Predicted topic : earn
Predicted topic : earn
Predicted topic : earn
Predicted topic : sugar
Predicted topic : earn
Predicted topic : earn
Predicted topic : money-fx
Predicted topic : acq
Predicted topic : earn
Predicted topic : earn
Predicted topic : interest
Predicted topic : interest
Predicted topic : earn
Predicted topic : sugar
Predicted topic : interest
Predicted topic : earn
Predicted topic : acq
Predicted topic : rubber
Predicted topic : earn
Predicted topic : earn
Predicted topic : trade
Predicted topic : earn
Predicted topic : trade
Predicted topic : dlr
Predicted topic : earn
Predicted topic : sugar
Predicted topic : trade
Predicted topic : interest
Predicted topic : money-fx
Predicted topic : earn
Predicted topic : money-fx
Predicted topic : money-fx
Predicted topic : money-fx
Predicted topic : earn
Predicted topic : earn
Predicted topic : acq
Predicted topic : acq
Predicted topic : acq
Predicted topic : acq
Predicted topic : earn
Predicted topic : earn
Predicted topic : earn
Predicted topic : earn
Predicted topic : acq
Predicted topic : earn
Predicted topic : earn
Predicted topic : dlr
Predicted topic : interest
Predicted topic : jobs
Predicted topic : acq
Predicted topic : earn
Predicted topic : earn
Predicted topic : earn
Predicted topic : earn
Predicted topic : acq
Predicted topic : money-fx
Predicted topic : earn
Predicted topic : money-fx
Predicted topic : earn
Predicted topic : earn
Predicted topic : earn
Predicted topic : money-fx
Predicted topic : ipi
Predicted topic : earn
Predicted topic : earn
Predicted topic : coffee
Predicted topic : acq
Predicted topic : bop
Predicted topic : acq
Predicted topic : interest
Predicted topic : earn
Predicted topic : earn
Predicted topic : money-fx
Predicted topic : trade
Predicted topic : earn
Predicted topic : sugar
Predicted topic : earn
Predicted topic : earn
Predicted topic : interest
Predicted topic : acq
Predicted topic : money-supply
Predicted topic : copper
Predicted topic : acq
Predicted topic : earn
Predicted topic : cotton
